Compound, 25°C
AgBrO3, 0.193
AgClO2, 0.55
AgClO3, 0.413
AgClO4, 84.8
AgNO2, 0.83
AgNO3, 70.1
Ag2SO4, 0.83
AlCl3, 31.10
Al(ClO4)3, 54.9
AlF3, 0.50
Al(NO3)3, 40.8
Al2(SO4)3, 27.8
As2O3, 2.01
BaBr2, 50.0
Ba(BrO3)2, 0.788
Ba(C2H3O2)2, 44.2
BaCl2, 27.03
Ba(ClO2)2, 31.3
Ba(ClO3)2, 27.50
Ba(ClO4)2, 75.75
BaF2, 0.161
BaI2, 68.8
Ba(IO3)2, 0.0396
Ba(NO3)2, 63.3
Ba(NO2)2, 44.83
Ba(OH)2, 8.21
BaS, 62.6
Ba(SCN)2, 0.0011
BeCl2, 41.7
Be(ClO4)2, 59.5
BeSO4, 29.22
CaBr2, 61.0
CaCl2, 44.83
Ca(ClO3)2, 66.3
Ca(ClO4)2, 65.5
CaF2, 0.0054
CaI2, 68.3
Ca(IO3)2, 0.305
Ca(NO3)2, 48.6
CaSO3, 59.0
Cd(IO3)2, 0.0060
CdBr2, 53.4
CdCl2, 58.7
CdF2, 4.18
CdI2, 46.3
Cd(NO3)2, 61.0
CdSO4, 0.091
CdSeO4, 63.05
Ce(NO3)3, 35.99
CoCl2, 53.0
Co(ClO4)2, 66.99
CoF2, 0.49
CoI2, 50.8
Co(NO3)2, 27.7
CoSO4, 50.7
Co(SCN)2, 62.8
CrO3, 55.2
CsBr, 3.69
CsCl, 65.64
CsClO3, 7.22
CsClO4, 1.96
CsI, 45.9
CsIO3, 2.59
CsNO3, 21.8
CsOH, 64.5
Cs2SO4, 55.8
CuCl2, 43.1
Cu(ClO4)2, 59.2
CuF2, 0.075
Cu(NO3)2, 18.0
CuSO4, 16.0
CuSeO4, 62.35
Dy(NO3)3, 65.75
Er(NO3)3, 64.84
Eu(NO3)3, 59.4
FeBr2, 54.6
FeCl2, 39.4
FeCl3, 47.7
Fe(ClO4)2, 67.76
FeF3, 5.59
Fe(NO3)3, 46.57
Fe(NO3)2, 46.67
FeSO4, 22.8
Ga(NO3)3, 60.1
HIO3, 75.48
H3BO3, 5.48
HgBr2, 10.2
Hg(CN)2, 6.81
HgCl2, 0.0055
HgI2, 0.070
Hg(SCN)2, 0.0004
Hg2Cl2, 79.8
Hg2(ClO4)2, 0.051
HgSO4, 63.8
Ho(NO3)3, 60.1
KBF4, 0.55
KBr, 40.4
KBrO3, 7.55
K2C2H3O2, 72.92
KCl, 26.22
KClO3, 7.93
KClO4, 2.04
KF, 50.41
KHCO3, 26.6
KHSO3, 33.6
KH2PO4, 19.97
KI, 59.7
KIO3, 8.44
KIO4, 0.51
KMnO4, 7.06
KNO2, 75.7
KNO3, 27.7
KOH, 54.7
KSCN, 70.4
K2CO3, 52.7
K2CrO4, 39.4
K2Cr2O7, 13.1
K2HAsO4, 63.6
K2HPO4, 62.7
K2MoO4, 64.7
K2SO3, 51.55
K2SO4, 10.7
K2S2O3, 62.3
K2S2O5, 33.1
K2SeO3, 68.5
K2SeO4, 53.30
K2AsO4, 55.6
K3Fe(CN)6, 32.8
K3PO4, 51.4
K3Fe(CN)6, 23.9
LaCl3, 48.9
La(NO3)3, 60.0
LiBr, 64.4
LiBrO3, 65.44
LiCl•H2O, 31.02
LiCl, 45.81
LiClO3, 82.1
LiClO4, 37.1
LiF, 0.134
LiH2PO4, 62.3
LiI, 43.8
LiIO3, 51
LiNO2, 51
LiNO3, 52.4
LiOH, 11.1
LiSCN, 5.87
Li2CO3, 1.33
Li2C2O4, 2.6
Li2HPO3, 7.77
Li2SO4, 33.8
Li3PO4, 0.027
Lu(NO3)3, 71.1
MgBr2, 56.6
Mg(BrO3)2, 9.52
Mg(C2H3O2)2, 39.61
MgC2O4, 29.0
MgCl2, 55.8
Mg(ClO3)2, 58.66
Mg(ClO4)2, 60.9
MgCrO4, 35.39
MgCr2O7, 58.9
MgF2, 7.92
MgI2, 59.4
Mg(IO3)2, 8.52
Mg(NO3)2, 61.0
Mg(NO3)3, 66.0
MgSO3, 0.52
MgSO4, 40.8
Mg2SO3, 31.7
MgSeO4, 35.7
MnBr2, 56.6
MnCl2, 43.6
MnF2, 1.01
Mn(IO3)2, 61.7
Mn(NO3)2, 61.7
MnSO4, 38.9
NH4Br, 43.9
NH4Cl, 28.34
NH4ClO4, 28.2
NH4F, 17.0
NH4HCO3, 17.6
NH4H2AsO4, 34.5
NH4H2PO4, 39.5
NH4I, 64.0
NH4IO3, 3.70
NH4NO2, 68.8
NH4NO3, 66.5
NH4SCN, 64.4
(NH4)2C2O4, 4.94
(NH4)2HPO4, 46.4
(NH4)2S2O5, 70.5
(NH4)2SO3, 37.7
(NH4)2SO4, 70.5
(NH4)2SeO3, 54.02
(NH4)2SeO4, 54.02
(NH4)3PO4, 15.5
NaBr, 47.7
NaBrO3, 28.28
NaCHO2, 48.7
NaC2H3O2, 51.8
NaC2O4, 33.6
NaCl, 36.2
NaClO, 22.5
NaClO2, 37.0
NaClO3, 50.1
NaClO4, 67.2
NaF, 5.28
NaHCO3, 9.32
NaHSO4, 23.3
NaH2PO4, 48.68
NaI, 56.9
NaIO3, 8.65
NaIO4, 12.62
NaNO2, 61.2
NaNO3, 92.7
NaOH, 42.0
NaSCN, 60.2
Na2B4O7, 8.07
Na2CO3, 37.2
Na2C2O4, 24.5
Na2CrO4, 46.7
Na2Cr2O7, 56.1
Na2HAsO4, 29.3
Na2HPO4, 10.55
Na2MoO4, 17.1
Na2S, 17.3
Na2SO3, 23.5
Na2SO4, 43.3
Na2S2O5, 40.0
Na2SeO3, 17.2
Na2SeO4, 54.0
Na2WO4, 32.4
Na3PO4, 14.5
Na3P2O7, 20.7
NdCl3, 50.0
Nd(NO3)3, 64.5
NiCl2, 40.3
Ni(ClO4)2, 52.8
NiF2, 0.69
NiI2, 68.9
Ni(NO3)2, 49.8
NiSO4, 35.48
Ni(SCN)2, 21.24
NiSeO4, 26.2
PbBr2, 1.07
PbCl2, 1.52
Pb(ClO4)2, 1.07
PbF2, 0.067
PbI2, 0.076
Pb(IO3)2, 2.59
Pb(NO3)2, 37.38
PbSO4, 0.0026
PrCl3, 49.0
Pr(NO3)3, 62.4
RbBr, 53.8
RbCl, 48.42
RbClO3, 6.22
RbClO4, 1.5
RbF, 75
RbHCO3, 59.4
RbI, 62.3
RbIO3, 2.38
RbNO3, 39.4
RbOH, 28.9
Rb2CrO4, 43.26
Rb2SO4, 33.7
SbCl3, 93.1
SbF3, 83.1
Sc(NO3)3, 82.5
Sm(NO3)3, 59.05
SmCl3, 48.4
SnCl2, 46
SnI2, 0.97
SrBr2, 51.7
Sr(BrO3)2, 27.02
SrCl2, 35.37
Sr(ClO2)2, 35.8
Sr(ClO3)2, 63.77
Sr(ClO4)2, 75.35
SrF2, 0.165
SrI2, 63.3
Sr(IO3)2, 0.162
Sr(NO3)2, 44.5
Sr(OH)2, 2.2
SrSO3, 0.0015
SrSO4, 0.0135
Sr2S2O3, 20.0
Tb(NO3)3, 61.02
Tl2SO4, 5.19
Tm(NO3)3, 67.9
UO2(NO3)2, 55.85
Y(NO3)3, 55.9
Yb(NO3)3, 70.5
ZnBr2, 83.0
ZnC2O4, 0.0026
ZnCl2, 80.3
Zn(ClO4)2, 46.27
ZnF2, 1.53
ZnI2, 88.2
Zn(IO3)2, 0.964
Zn(NO3)2, 54.6
ZnSO3, 0.1790
ZnSO4, 36.6
ZnSeO4, 38.79
